Allocation Org	Cost Center Name	Direct Cost Center	Reimbursable Cost Center	Reimbursable Facility	Reimbursable Bureau	Reimbursable Composite	
	SOUTH DAKOTA CF & WRU	0	0	0.55	12	12.616	
	TENNESSEE CFRU	0	0	0.55	12	12.616	
	TEXAS CF & WRU	0	0	0.55	12	12.616	
	UTAH CF & WRU	0	0	0.55	12	12.616	
	VERMONT CF & WRU	0	0	0.55	12	12.616	
	VIRGINIA CF & WRU	0	0	0.55	12	12.616	
	WASHINGTON CF & WRU	0	0	0.55	12	12.616	
	WEST VIRGINIA CF & WRU	0	0	0.55	12	12.616	
	WISCONSIN CFRU	0	0	0.55	12	12.616	
	WISCONSIN CWRU	0	0	0.55	12	12.616	
	WYOMING CF & WRU	0	0	0.55	12	12.616	
GGHHGA0000	ASSOC DIR FOR NAT HAZ-SENIOR STAFF	0	0	8.278	12	21.27136	
	OFFC OF ASSOC DIR FOR NATURAL HAZ	0	0	8.278	12	21.27136	
	Science Application For Risk Reduction	0	0	8.278	12	21.27136	
GGHHGG0000	EARTHQUAKE HAZARDS PROG OFFC	0	0	0.503	12	12.56336	
GGHHGH0000	VOLCANO HAZARDS PROG OFFC	0	0	0.331	12	12.37072	
GGHHGK0000	LANDSLIDE HAZARDS PROG	0	0	0	12	12	
GGHHGU0000	Science Application For Risk Reduction	0	0	0	12	12	
GGHHGY0000	Coastal/Marine Geog Prog Offc	0	0	1.015	12	13.1368	
GGHIEE0000	FEDERAL GEOGRAPHIC DATA COMMITTEE	0	0	13.931	12	27.60272	
GGHIEF0000	CARTOGRAPHIC DATA SERVICES	15.636	15.636	3.197	12	33.09296	
	EXTERNAL COORDINATION	15.636	15.636	3.197	12	33.09296	
	NATIONAL GEOSPATIAL PROGRAM	15.636	15.636	3.197	12	33.09296	
	NGP SUPPORT ACTIVITIES	15.636	15.636	3.197	12	33.09296	
	TOPOGRAPHIC DATA SERVICES	15.636	15.636	3.197	12	33.09296	
	USER ENGAGEMENT	15.636	15.636	3.197	12	33.09296	
GGHIEG0000	NGTOC Contract Services	19.156	19.156	8.975	12	43.50672	
	NGTOC Innov. Carto	19.156	19.156	8.975	12	43.50672	
	NGTOC Innov. CEGIS	19.156	19.156	8.975	12	43.50672	
	NGTOC Innov. Info Sci Sys	19.156	19.156	8.975	12	43.50672	
	NGTOC Innov. Sci Sys Dev	19.156	19.156	8.975	12	43.50672	
	NGTOC INNOVATION OFC	19.156	19.156	8.975	12	43.50672	
	NGTOC INNOVATIONS TOPO	19.156	19.156	8.975	12	43.50672	
	NGTOC MANAGEMENT AND SERVICES	19.156	19.156	8.975	12	43.50672	
	NGTOC MAPPING CONTRACTS	19.156	19.156	8.975	12	43.50672	
	NGTOC OPERATIONS ELEVATION	19.156	19.156	8.975	12	43.50672	
	NGTOC OPERATIONS OFC	19.156	19.156	8.975	12	43.50672	
	NGTOC OPS CPS	19.156	19.156	8.975	12	43.50672	
	NGTOC OPS HYDRO	19.156	19.156	8.975	12	43.50672	
	NGTOC OPS TBS	19.156	19.156	8.975	12	43.50672	
	NGTOC Program Capability	19.156	19.156	8.975	12	43.50672	
	NGTOC-DENVER	19.156	19.156	8.975	12	43.50672	
GGHIEJ0000	APPLIED EARTH SYS INFO RESEARCH	19.153	19.153	7.878	12	42.27472	
	BIOGEOGRAPHIC CHARACTERIZATION	19.153	19.153	7.878	12	42.27472	
	CORE SCIENCE ANALYTICS AND SYNTHESIS	19.153	19.153	7.878	12	42.27472	
	ECO-SCIENCE SYNTHESIS	19.153	19.153	7.878	12	42.27472	
	SCIENCE DATA MANAGEMENT	19.153	19.153	7.878	12	42.27472	
	SCIENTIFIC DATA INTEGRATION & VISU	19.153	19.153	7.878	12	42.27472	
GGHIEL0000	Denver Library Services	0	0	78.57	12	99.9984	
	Menlo Library Services	0	0	78.57	12	99.9984	
	National Library Program	0	0	78.57	12	99.9984	
	Reston Library Services	0	0	78.57	12	99.9984	
GGHIEP0000	National Ice Core Laboratory	0	0	0	12	12	
GGHIER0000	Core Research Center	0	0	7.6	12	20.512	
GGHIEW0000	John Wesley Powell Center	0	0	19.606	12	33.95872	
GGHIFS0000	OFFC OF ASSOC DIR FOR CORE SCI SYS	0	0	8.587	12	21.61744	
GGHIGC0000	NATL COOP GEOL MAPPING PROG OFFC	0	0	1.713	12	13.91856	
GGHIGL0000	DATA PRESERVATION INFORMATICS & LAB	0	0	2.195	12	14.4584	
GGHMGB0000	MINERAL RESOURCES PROG OFFC	0	0	2.36	12	14.6432	
GGHMGD0000	ENERGY RESOURCES PROG OFFC	0	0	1.634	12	13.83008	
GGHMGM0000	SHRIMP	0	0	0	12	12	
GGHMGQ0000	TRIGA REACTOR	0	0	15.322	12	29.16064	
GGHMGS0000	OFFC OF ASSOC DIR FOR ENGERGY & MINERALS	0	0	7.629	12	20.54448	
GGHMGW0000	Science and Decisions Center	0	0	10.971	12	24.28752	
GGHTGI0000	TOXIC SUBSTANCES HYDROLOGY	0	0	2.398	12	14.68576	
GGHTGV0000	OFFICE OF ASSOC DIR ENVIRONMENTAL HEALTH	0	0	6.689	12	19.49168	
GGHTGZ0000	CONTAMINANT BIOLOGY	0	0	3.18	12	15.5616	
GGHWCA0000	DELAWARE RIVER MASTER	0	0	7.604	12	20.51648	
	EXTREME HYDROLOGIC EVENT COORDINATOR	0	0	7.604	12	20.51648	
	LABORATORY SCIENCE ADVISOR	0	0	7.604	12	20.51648	
	OFFC OF ASSOC DIR FOR WATER	0	0	7.604	12	20.51648	
	OFFICE OF QUALITY ASSURANCE	0	0	7.604	12	20.51648	
	WATER BUDGET OFFICE	0	0	7.604	12	20.51648	
	WATER CHIEF OF STAFF	0	0	7.604	12	20.51648	
GGHWDJ0000	ANALYSIS & PREDICTION BRANCH	18.264	18.264	14.461	12	48.652	
	COMPLIANCE BRANCH	18.264	18.264	14.461	12	48.652	
	DATA SCIENCE BRANCH	18.264	18.264	14.461	12	48.652	
	DECISION SUPPORT BRANCH	18.264	18.264	14.461	12	48.652	
	EARTH SYSTEM PROCESSES DIVISION	18.264	18.264	14.461	12	48.652	
	EARTH SYSTEMS MODELING BRANCH	18.264	18.264	14.461	12	48.652	
	ENGINEERING BRANCH	18.264	18.264	14.461	12	48.652	
	ENTERPRISE TECHNOLOGY OFFICE	18.264	18.264	14.461	12	48.652	
	GEO-INTELLIGENCE BRANCH	18.264	18.264	14.461	12	48.652	
	GEOPHYSICS BRANCH	18.264	18.264	14.461	12	48.652	
	HYDRODYNAMICS BRANCH	18.264	18.264	14.461	12	48.652	
	HYDRO-ECO INTERACTIONS BRANCH	18.264	18.264	14.461	12	48.652	
	HYDROLOGIC INSTRUMENTATION FACILITY	18.264	18.264	14.461	12	48.652	
	HYDROLOGIC NETWORKS BRANCH	18.264	18.264	14.461	12	48.652	
	HYDROLOGIC REMOTE SENSING BRANCH	18.264	18.264	14.461	12	48.652	
	INTEGRATED INFORMATION DISSEMINATION DIV	18.264	18.264	14.461	12	48.652	
	INTEGRATED MODELING & PREDICTION DIV	18.264	18.264	14.461	12	48.652	
	LABORATORY & ANALYTICAL SERVICES DIV	18.264	18.264	14.461	12	48.652	
	NATIONAL WATER QUALITY LAB WCF	18.264	18.264	14.461	12	48.652	
	NWQL BRANCH	18.264	18.264	14.461	12	48.652	
	OBSERVING SYSTEMS DIVISION	18.264	18.264	14.461	12	48.652	
	OFFICE OF THE CHIEF OPERATING OFFICER	18.264	18.264	14.461	12	48.652	
	OPERATIONS AND INFRASTRUCTURE BRANCH	18.264	18.264	14.461	12	48.652	
	PROJECT LABORATORY BRANCH	18.264	18.264	14.461	12	48.652	
	PROJECT MANAGEMENT OFFICE	18.264	18.264	14.461	12	48.652	
	QUALITY SYSTEMS BRANCH	18.264	18.264	14.461	12	48.652	
	SUPPORT BRANCH	18.264	18.264	14.461	12	48.652	
	WATER CYCLE BRANCH	18.264	18.264	14.461	12	48.652	
	WATER RESOURCE ASSESSMENT BRANCH	18.264	18.264	14.461	12	48.652	
	WEB COMMUNICATIONS BRANCH	18.264	18.264	14.461	12	48.652	
GGHWDK0000	GROUNDWATER & STREAMFLOW INFO PROGRAM	0	0	4.529	12	17.07248	
	NATIONAL WATER QUALITY PROGRAM	0	0	4.529	12	17.07248	
	OFF OF PLANNING & PROGRAMING	0	0	4.529	12	17.07248	
	WATER AVAIL AND USE SCIENCE PROGRAM	0	0	4.529	12	17.07248	
	WATER RESOURCE RESEARCH ACT PROGRAM	0	0	4.529	12	17.07248	
GGWAWA0000	OFC OF REG EXEC FOR ALASKA AREA	0	0	11.034	12	24.35808	
GGWAWB0000	ALASKA SCIENCE CENTER	26.47	26.47	14.831	12	58.25712	
	ASC BIOLOGY MFE BRANCH	26.47	26.47	14.831	12	58.25712	
	ASC BIOLOGY OFFICE	26.47	26.47	14.831	12	58.25712	
	ASC BIOLOGY WTE BRANCH	26.47	26.47	14.831	12	58.25712	
	ASC GEOGRAPHY OFFICE	26.47	26.47	14.831	12	58.25712	
	ASC GEOLOGY OFFICE	26.47	26.47	14.831	12	58.25712	
	ASC WATER OFFICE	26.47	26.47	14.831	12	58.25712	
	WATER INTERDISCIPLINARY STUDIES	26.47	26.47	14.831	12	58.25712	
GGWAWC0000	VOLCANO SCIENCE CENTER	16.93	16.93	15.104	12	47.87808	
GGWNRN0000	GEOLOGIC HAZARDS TEAM	15.5	15.5	15.644	12	46.88128	
GGWNRR0000	GLACIER FIELD STA	14.739	14.739	7.947	12	37.40832	
	MISSOULA FIELD STA	14.739	14.739	7.947	12	37.40832	
	NORTHERN ROCKY MTN SCI CTR	14.739	14.739	7.947	12	37.40832	
GGWNRS0000	WYOMING-MONTANA WATER SCIENCE CENTER	34.685	34.685	12.018	12	64.30736	
	WYOMING-MONTANA WSC BILLINGS OFFICE	34.685	34.685	12.018	12	64.30736	
	WYOMING-MONTANA WSC CASPER OFFICE	34.685	34.685	12.018	12	64.30736	
	WYOMING-MONTANA WSC CHEYENNE OFFICE	34.685	34.685	12.018	12	64.30736	
	WYOMING-MONTANA WSC FT PECK OFFICE	34.685	34.685	12.018	12	64.30736	
	WYOMING-MONTANA WSC HELENA OFFICE	34.685	34.685	12.018	12	64.30736	
	WYOMING-MONTANA WSC KALISPELL OFFICE	34.685	34.685	12.018	12	64.30736	
	WYOMING-MONTANA WSC RIVERTON OFFICE	34.685	34.685	12.018	12	64.30736	
GGWNYA0000	OFFICE OF THE REG EXEC NORTHWEST AREA	0	0	7.704	12	20.62848	
	PNAMP	0	0	7.704	12	20.62848	
GGWNYB0000	CASCADIA FIELD STATION	23	23	6.726	12	45.29312	
	CORVALLIS RESEARCH GROUP	23	23	6.726	12	45.29312	
	FOREST & RANGELAND ECOSYS SC CTR.	23	23	6.726	12	45.29312	
	OLYMPIC FIELD STATION	23	23	6.726	12	45.29312	
	SNAKE RIVER FIELD STATION	23	23	6.726	12	45.29312	
GGWNYD0000	COLUMBIA RIVER RESEARCH LAB	27.372	27.372	24.204	12	69.76512	
	DIXON DUTY STATION	27.372	27.372	24.204	12	69.76512	
	KLAMATH FALLS FIELD STATION	27.372	27.372	24.204	12	69.76512	
	MARROWSTONE MARINE FIELD STATION	27.372	27.372	24.204	12	69.76512	
	NEWPORT DUTY STATION	27.372	27.372	24.204	12	69.76512	
	RENO FIELD STATION	27.372	27.372	24.204	12	69.76512	
	WESTERN FISHERIES RESEARCH CENTER	27.372	27.372	24.204	12	69.76512	
GGWNYE0000	FIELD OFFICE - BOISE	47.037	47.037	13.25	12	79.52144	
	FIELD OFFICE - IDAHO FALLS	47.037	47.037	13.25	12	79.52144	
	FIELD OFFICE - POST FALLS	47.037	47.037	13.25	12	79.52144	
	FIELD OFFICE - TWIN FALLS	47.037	47.037	13.25	12	79.52144	
	IDAHO NATL ENG LAB	47.037	47.037	13.25	12	79.52144	
	IDAHO WATER SCI CTR	47.037	47.037	13.25	12	79.52144	
GGWNYF0000	FIELD OFFICE - MEDFORD	56.267	56.267	10.271	12	86.52256	
	FIELD OFFICE - PORTLAND	56.267	56.267	10.271	12	86.52256	
	OREGON WATER SCI CTR	56.267	56.267	10.271	12	86.52256	
GGWNYG0000	Northwest Washington Field Office	49	49	17	12	85.92	
	Upper Columbia Field Office	49	49	17	12	85.92	
	WASHINGTON WATER SCI CTR	49	49	17	12	85.92	
	Washington Water Sci Ctr Mid Col FO	49	49	17	12	85.92	
	Western Washington Field Office	49	49	17	12	85.92	
GGWSZA0000	DELTA SCIENCE PROJECT	0	0	3.573	12	16.00176	
	GEOSPATIAL LIAISONS	0	0	3.573	12	16.00176	
	Hazards Coordination	0	0	3.573	12	16.00176	
	INNOVATION CENTER FOR EARTH SCIENCES	0	0	3.573	12	16.00176	
	MULTI HAZARDS DEMO PROJECT	0	0	3.573	12	16.00176	
	REG EXEC PACIFIC SW AREA	0	0	3.573	12	16.00176	
	SALTON SEA SCIENCE OFFICE	0	0	3.573	12	16.00176	
GGWSZB0000	HALEAKALA FIELD STATION	28.25	28.25	7.6	12	52.152	
	KILAUEA FIELD STATION	28.25	28.25	7.6	12	52.152	
	MANOA FIELD STATION	28.25	28.25	7.6	12	52.152	
	PACIFIC ISLANDS ECOSYS RES CTR	28.25	28.25	7.6	12	52.152	
GGWSZC0000	BOX SPRINGS FIELD STATION	24.99	24.99	10.055	12	51.2504	
	CARLSBAD SUB STATION	24.99	24.99	10.055	12	51.2504	
	CHANNEL ISLANDS FIELD STATION	24.99	24.99	10.055	12	51.2504	
	DAVIS FIELD STATION	24.99	24.99	10.055	12	51.2504	
	DIXON FIELD STATION	24.99	24.99	10.055	12	51.2504	
	FREMONT SUB STATION	24.99	24.99	10.055	12	51.2504	
	HENDERSON FIELD STATION	24.99	24.99	10.055	12	51.2504	
	NORTHERN NEVADA SUB STATION	24.99	24.99	10.055	12	51.2504	
	OAKHURST FIELD STATION	24.99	24.99	10.055	12	51.2504	
	OLYMPIA SUB STATION	24.99	24.99	10.055	12	51.2504	
	POINT REYES FIELD STATION	24.99	24.99	10.055	12	51.2504	
	POINT REYES SUB STATION	24.99	24.99	10.055	12	51.2504	
	REDWOOD FIELD STATION	24.99	24.99	10.055	12	51.2504	
	SAN DIEGO FIELD STATION	24.99	24.99	10.055	12	51.2504	
	SAN FRANCISCO BAY ESTUARY FIELD STATION	24.99	24.99	10.055	12	51.2504	
	SAN SIMEON SUB STATION	24.99	24.99	10.055	12	51.2504	
	SANTA ANA SUB STATION	24.99	24.99	10.055	12	51.2504	
	SANTA BARBARA FIELD STATION	24.99	24.99	10.055	12	51.2504	
	SANTA CRUZ FIELD STATION	24.99	24.99	10.055	12	51.2504	
	SANTA CRUZ WRIGLEY SUB STATION	24.99	24.99	10.055	12	51.2504	
	SANTA MONICA MOUNTAINS FIELD STATION	24.99	24.99	10.055	12	51.2504	
	SEQUOIA & KINGS CANYON FIELD STA.	24.99	24.99	10.055	12	51.2504	
	SUISUN CITY SUB STATION	24.99	24.99	10.055	12	51.2504	
	WESTERN ECOLOGICAL RESEARCH CTR.	24.99	24.99	10.055	12	51.2504	
	YOSEMITE SUB STATION	24.99	24.99	10.055	12	51.2504	
GGWSZE0000	Research Drilling Program	0	0	0	12	12	
GGWSZG0000	CALIFORNIA WATER SCI CTR	50.468	50.468	17.877	12	88.5464	
	FIELD OFFC - POWAY	50.468	50.468	17.877	12	88.5464	
	FIELD OFFICE - REDDING	50.468	50.468	17.877	12	88.5464	
	Field Office - Redlands	50.468	50.468	17.877	12	88.5464	
	FIELD OFFICE - SACRAMENTO	50.468	50.468	17.877	12	88.5464	
	Field Office - Santa Cruz	50.468	50.468	17.877	12	88.5464	
	FIELD OFFICE - SANTA MARIA	50.468	50.468	17.877	12	88.5464	
	"FIELD OFFICE - TRUCKEE, CA"	50.468	50.468	17.877	12	88.5464	
	FIELD OFFICE - UKIAH	50.468	50.468	17.877	12	88.5464	
	PO GROUNDWATER AVAIL USE AND ASMNTS	50.468	50.468	17.877	12	88.5464	
	Proj Of Biogeochemistry and Contaminants	50.468	50.468	17.877	12	88.5464	
	Proj Off Watershed Ecology Intg Modeling	50.468	50.468	17.877	12	88.5464	
	Proj Off-California Oil Gas Groundwater	50.468	50.468	17.877	12	88.5464	
	PROJ OFF-CONTAMINANTS/NAWQA CALIFORNIA	50.468	50.468	17.877	12	88.5464	
	PROJ OFF-HYDRODYNAMICS/ACCOUSTICS/SEDIME	50.468	50.468	17.877	12	88.5464	
	PROJ OFFICE-SAN DIEGO-COAST/INLAND BASIN	50.468	50.468	17.877	12	88.5464	
	Proj Of-Statewide & Ntl Water Quality As	50.468	50.468	17.877	12	88.5464	
	Science Communications Group	50.468	50.468	17.877	12	88.5464	
GGWSZH0000	FIELD OFFICE - HONOLULU	37.769	37.769	15.27	12	71.40368	
	FIELD OFFICE - MAUI	37.769	37.769	15.27	12	71.40368	
	PACIFIC ISLANDS WATER SCI CTR	37.769	37.769	15.27	12	71.40368	
GGWSZJ0000	FIELD OFFICE - ELKO	49.729	49.729	20.49	12	90.64528	
	FIELD STATION - MERCURY	49.729	49.729	20.49	12	90.64528	
	LAS VEGAS OFFICE	49.729	49.729	20.49	12	90.64528	
	NEVADA WATER SCI CTR	49.729	49.729	20.49	12	90.64528	
GGWSZL0000	PACIFIC GEOGRAPHIC SCIENCE TEAM	26.2	26.2	9.543	12	52.03216	
	SOUTHWEST GEOGRAPHIC SCIENCE TEAM	26.2	26.2	9.543	12	52.03216	
	WESTERN GEOGRAPHIC SCI CTR	26.2	26.2	9.543	12	52.03216	
GGWSZP0000	PACIFIC COASTAL & MARINE SC	16.5	16.5	25.554	12	59.10048	
GGWSZQ0000	EARTHQUAKE SCIENCE CENTER	19.564	19.564	9.329	12	44.36016	
GGWSZT0000	Geology Minerals Energy & Geophysics SC	21.137	21.137	20.206	12	58.30416	
